"","SqlTrace"
"4384","exec sp_cursorfetch 180151409,16,1,1"
"4385","declare @p1 int
set @p1=180151411
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select top 1 isnull(TypeTarifID, '''') from GMP_TYPESTARIFS where EstSPA= 0 AND TarifCondo= 0  AND ACTIF= 1 AND DateEffectif <= GETDATE()  order by DateEffectif desc, TypeTarifID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4386","exec sp_cursorfetch 180151411,16,1,1"
"4387","exec sp_cursorclose 180151411"
"4388","declare @p1 int
set @p1=180151413
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select top 1 isnull(TypeTarifID, '''') from GMP_TYPESTARIFS where EstSPA=1  AND ACTIF= 1 AND DateEffectif <= GETDATE()  order by DateEffectif desc, TypeTarifID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4389","exec sp_cursorfetch 180151413,16,1,1"
"4390","exec sp_cursorclose 180151413"
"4391","exec sp_cursorclose 180151409"
"4392","declare @p1 int
set @p1=180151415
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM SV000805  WHERE CUSTNMBR = ''CL00763330''  AND ADRSCODE = ''SERVICE''  AND Reference_ID = '''' AND WS_Note_Type = ''M'' AND Note_Service_Index = '''' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4393","exec sp_cursoroption 180151415,1,0"
"4394","exec sp_cursorfetch 180151415,16,1,1"
"4395","exec sp_cursorclose 180151415"
"4396","declare @p1 int
set @p1=180151417
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' select top 3 HS_Appel.Service_Call_ID,Date_of_Service_Call,HS_Appel.Type_of_Problem , UsagerResponsable,Resolution_Description from HS_Appel left join GMP_SV00310 on HS_Appel.Type_of_Problem=GMP_SV00310.Type_of_Problem Where (Categorie = 1 Or Categorie = 5) and Status_of_Call<>''Ouv'' and CUSTNMBR=''CL00763330'' and ADRSCODE = ''SERVICE'' order by Date_of_Service_Call desc',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4397","exec sp_cursorfetch 180151417,16,1,1"
"4398","declare @p1 int
set @p1=180151419
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4399","exec sp_cursorfetch 180151419,16,1,1"
"4400","exec sp_cursorclose 180151419"
"4401","declare @p1 int
set @p1=180151421
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT *  FROM gmp_repertoire  WHERE ServeurSQL= ''DEV01-HS\DEV''   AND CleRepertoire= ''Attachement''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4402","exec sp_cursorfetch 180151421,16,1,1"
"4403","exec sp_cursorclose 180151421"
"4404","declare @p1 int
set @p1=180151423
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT *  FROM gmp_repertoire  WHERE ServeurSQL= ''DEV01-HS\DEV''   AND CleRepertoire= ''wwwWebService''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4405","exec sp_cursorfetch 180151423,16,1,1"
"4406","exec sp_cursorclose 180151423"
"4407","declare @p1 int
set @p1=180151425
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT [BodyFrench] FROM [HS_EmailTemplate] WHERE Name= ''HsFichePartenaire''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4408","exec sp_cursoroption 180151425,1,0"
"4409","exec sp_cursorfetch 180151425,16,1,1"
"4410","exec sp_cursoroption 180151425,3,1"
"4411","exec sp_cursor 180151425,40,1"
"4412","exec sp_cursor 180151425,40,1"
"4413","exec sp_cursorclose 180151425"
"4414","declare @p1 int
set @p1=180151427
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4415","exec sp_cursorfetch 180151427,16,1,1"
"4416","exec sp_cursorclose 180151427"
"4417","declare @p1 int
set @p1=180151429
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT ChromeStartUpLink FROM Gmp_Systeme',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4418","exec sp_cursorfetch 180151429,16,1,1"
"4419","exec sp_cursorclose 180151429"
"4420","declare @p1 int
set @p1=180151431
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_USAGERS WITH(NOLOCK) WHERE UsagerID = ''ed50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4421","exec sp_cursorfetch 180151431,16,1,1"
"4422","exec sp_cursorclose 180151431"
"4423","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"4424","INSERT INTO GMP_COURRIELS (To_Address, From_Address, Subject, Body, Request_Date,Piece_Jointe, isHtmlFmt, envoyer)  VALUES ('SupportHS@progiclix.com', 'HydroSoft@hydrosolution.com', 'TEST - Demande 2016-11-10 08:17:40', '<!DOCTYPE HTML PUBLIC ""-//W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd"">
<html>
<head >
    <style type=""text/css"">
        @page {
            margin-top:5mm;
			margin-bottom:5mm;
			margin-left:1mm;
			margin-right:1mm;
        }
        @font-face {
            font-family: ''Bar-Code 39'';
            src: url(''http://devws.hydrosolution.com/fonts/code39-webfont.woff2'') format(''woff2''), url(''http://devws.hydrosolution.com/fonts/code39-webfont.woff'') format(''woff'');
        }

	  table.print-friendly tr td, table.print-friendly tr th {
			page-break-inside: avoid;
		}
        .headerLine {
            margin-top: 5px;
            margin-bottom: 5px;
            padding: 2px;
            Font-family: ''Calibri'';
            font-weight: bold;
            font-size: 14pt;
            border-bottom: double 5px;
            text-align: center;
            vertical-align: middle;
            text-transform: uppercase;
        }
     .label {
              Font-family: ''Calibri'';
            font-weight: bold;
            font-size: 10pt;
        }
        .value{
            Font-family: ''Calibri'';
            font-weight: normal;
            font-size: 10pt;
        }
        .footerLine{
            margin-top: 0px;
            margin-bottom: 0px;
            padding: 2px;
			line-height: 0,8;
            border-top: solid 2px;
            border-bottom: solid 1px;
            text-align: center;
            vertical-align: middle;
            text-transform: uppercase;

        }
		.footerText {
		    Font-family: ''Calibri'';
            font-weight: normal;
            font-size: 8pt;
		}
        .mainTitle {
            Font-family: ''Calibri'';
            font-weight: bold;
            font-size: 14pt;
        }

        .mainHeaderLine {
            margin-top: 5px;
            margin-bottom: 5px;
            padding: 2px;
            Font-family: ''Calibri'';
            font-weight: bold;
            font-size: 14pt;
            border-bottom: solid 5px;
            border-top: solid 2px;
            text-align: center;
            vertical-align: middle;
            text-transform: uppercase;
        }
    </style>
</head>
<body   style=""Font-family: ''Calibri'';font-size:12pt"">
    <table style=""width: 800px;"" class=""print-friendly"">
		<tr>
			<td colspan=""2"" style=""width: 400px; font-family: ''Bar-Code 39''; font-size: 24pt;padding-left:60px"">*HS161019-0001*
			</td>
			<td colspan=""2"" rowspan=""2"" style=""width: 400px; text-align: center; vertical-align: middle"" class=""mainTitle"">
				<font style=''color:red;font-size:14pt;font-weight:bold''>*** TEST ***<br/></font>Demande HydroSolution<br/>2016-11-10 08:17:40
		</tr>
		<tr >
			<td colspan=""2"" class=""mainTitle"" style=""text-align: center;"">161019-0001-19</td>
		</tr>
		<tr><td colspan=""4"">&nbsp;</td></tr>
		<tr >
			<td colspan=""4"" class=""mainHeaderLine"">LEAD PARTENAIRE / CHAUFFE-EAU COULE (URGENT)
			</td>
		</tr>
		<tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""2"" style=""padding-left: 7px;"" >
                    <span class=""label"">Type de programme:&nbsp;&nbsp;</span><span class=""value"">VENTE</span>
                </td>
                <td style=""text-align: right"" class=""label"">Équipement:&nbsp;</td>
                <td class=""value"">CH-EAU  40 GAL</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""2"" rowspan=""3"" style=""padding-left: 25px;"" class=""value"">7100 JEANTALON<br />
                    MONTREAL<br />
                    H1M 3S3
                </td>
                <td style=""text-align: right""  class=""label"">Prendre rdv avec:&nbsp;</td>
                <td class=""value"">HYDROSOLUTION TEST</td>
            </tr>
            <tr>
                <td style=""text-align: right""  class=""label"">Téléphone:&nbsp;</td>
                <td class=""value"">(514) 326-0606  Ext. </td>
            </tr>
            <tr>
                <td style=""text-align: right""  class=""label"">Téléphone sec.:&nbsp;</td>
                <td class=""value""></td>
            </tr>
            <tr style=""line-height: 7px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""headerLine"">Note(S)</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""value""></td>
            </tr>
			<tr>
                <td colspan=""4"" class=""headerLine"">INFORMATION SUR LE CHAUFFE-EAU EXISTANT</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
			<tr><td class=""value""><b>AUCUN ÉQUIPEMENT</b></td></tr>
            <tr style=""line-height: 7px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""headerLine"">GARANTIE ACTIVE</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
             <tr>
                <td colspan=""4"" class=""value"" style=""text-align:left""><b>AUCUNE GARANTIE</b></td>
            </tr>
            </tr>
                <tr style=""line-height: 7px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""headerLine"">HISTORIQUE DES APPELS</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
             <tr>
                <td colspan=""4"" class=""value"" ><b>AUCUN HISTORIQUE AU DOSSIER</b></td>
            </tr>
            </tr>
                <tr style=""line-height: 7px;"">
                    <td>&nbsp;</td>
                </tr>

            <tr>
                <td colspan=""4"" class=""headerLine"">INFORMATION SUR LE NOUVEAU CHAUFFE-EAU OU MODIFICATION DU CHAUFFE-EAU EXISTANT</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Nº de série:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Réceptacle:&nbsp;</td>
                <td class=""value"" style=""width:30%"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;OUI&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;NON</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Nº de modèle:&nbsp;</td>
                <td class=""value"" style=""width:30%"">1_____2E-3F6_____-HQ_____M_____HSA</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">130 E-3E7N-HQ::&nbsp;</td>
                <td class=""value"" style=""width:30%"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;OUI&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;NON</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Fabricant&nbsp;si&nbsp;pas&nbsp;Giant:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">6245OSO:&nbsp;</td>
                <td class=""value"" style=""width:30%"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;OUI&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;NON</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Date fabrication:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Élément:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Anode:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Cuve:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Adresse&nbsp;installation:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Emplacement________:&nbsp;</td>
                <td class=""value"" style=""width:30%"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;S-SOL&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;REZ-CHAUSSE&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;ÉTAGE</td>
            </tr>

        </tbody>
		<tfoot>
            <tr>
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""footerLine"">
                    <table style=""width:100%"">
                        <tr>
                            <td style=""text-align:left;"" class=""footerText"">Créé par: (ed50617RSC) - Evelyne Djuikom RSC</td>
                            <td style=""text-align:center;""  class=""footerText"">2016-11-10 08:17:40</td>
                            <td style=""text-align:right;""  class=""footerText"">DEV01-HS\DEV / HYSEC / v5.96.3</td>
                        </tr>
                    </table>
                </td>
            </tr>
        </tfoot>    
	</table>
</body>
</html>', CONVERT(DATETIME,'2016-11-10 08:17:42'), '\\dev01-hs\Attachement\161019-0001-19.html', 1, 0)"
"4425","INSERT INTO GMP_COURRIELS (To_Address, From_Address, Subject, Body, Request_Date,Piece_Jointe, isHtmlFmt, envoyer)  VALUES ('SupportHS@progiclix.com', 'HydroSoft@hydrosolution.com', 'TEST - Demande 2016-11-10 08:17:40', '<!DOCTYPE HTML PUBLIC ""-//W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd"">
<html>
<head >
    <style type=""text/css"">
        @page {
            margin-top:5mm;
			margin-bottom:5mm;
			margin-left:1mm;
			margin-right:1mm;
        }
        @font-face {
            font-family: ''Bar-Code 39'';
            src: url(''http://devws.hydrosolution.com/fonts/code39-webfont.woff2'') format(''woff2''), url(''http://devws.hydrosolution.com/fonts/code39-webfont.woff'') format(''woff'');
        }

	  table.print-friendly tr td, table.print-friendly tr th {
			page-break-inside: avoid;
		}
        .headerLine {
            margin-top: 5px;
            margin-bottom: 5px;
            padding: 2px;
            Font-family: ''Calibri'';
            font-weight: bold;
            font-size: 14pt;
            border-bottom: double 5px;
            text-align: center;
            vertical-align: middle;
            text-transform: uppercase;
        }
     .label {
              Font-family: ''Calibri'';
            font-weight: bold;
            font-size: 10pt;
        }
        .value{
            Font-family: ''Calibri'';
            font-weight: normal;
            font-size: 10pt;
        }
        .footerLine{
            margin-top: 0px;
            margin-bottom: 0px;
            padding: 2px;
			line-height: 0,8;
            border-top: solid 2px;
            border-bottom: solid 1px;
            text-align: center;
            vertical-align: middle;
            text-transform: uppercase;

        }
		.footerText {
		    Font-family: ''Calibri'';
            font-weight: normal;
            font-size: 8pt;
		}
        .mainTitle {
            Font-family: ''Calibri'';
            font-weight: bold;
            font-size: 14pt;
        }

        .mainHeaderLine {
            margin-top: 5px;
            margin-bottom: 5px;
            padding: 2px;
            Font-family: ''Calibri'';
            font-weight: bold;
            font-size: 14pt;
            border-bottom: solid 5px;
            border-top: solid 2px;
            text-align: center;
            vertical-align: middle;
            text-transform: uppercase;
        }
    </style>
</head>
<body   style=""Font-family: ''Calibri'';font-size:12pt"">
    <table style=""width: 800px;"" class=""print-friendly"">
		<tr>
			<td colspan=""2"" style=""width: 400px; font-family: ''Bar-Code 39''; font-size: 24pt;padding-left:60px"">*HS161019-0001*
			</td>
			<td colspan=""2"" rowspan=""2"" style=""width: 400px; text-align: center; vertical-align: middle"" class=""mainTitle"">
				<font style=''color:red;font-size:14pt;font-weight:bold''>*** TEST ***<br/></font>Demande HydroSolution<br/>2016-11-10 08:17:40
		</tr>
		<tr >
			<td colspan=""2"" class=""mainTitle"" style=""text-align: center;"">161019-0001-19</td>
		</tr>
		<tr><td colspan=""4"">&nbsp;</td></tr>
		<tr >
			<td colspan=""4"" class=""mainHeaderLine"">LEAD PARTENAIRE / CHAUFFE-EAU COULE (URGENT)
			</td>
		</tr>
		<tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""2"" style=""padding-left: 7px;"" >
                    <span class=""label"">Type de programme:&nbsp;&nbsp;</span><span class=""value"">VENTE</span>
                </td>
                <td style=""text-align: right"" class=""label"">Équipement:&nbsp;</td>
                <td class=""value"">CH-EAU  40 GAL</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""2"" rowspan=""3"" style=""padding-left: 25px;"" class=""value"">7100 JEANTALON<br />
                    MONTREAL<br />
                    H1M 3S3
                </td>
                <td style=""text-align: right""  class=""label"">Prendre rdv avec:&nbsp;</td>
                <td class=""value"">HYDROSOLUTION TEST</td>
            </tr>
            <tr>
                <td style=""text-align: right""  class=""label"">Téléphone:&nbsp;</td>
                <td class=""value"">(514) 326-0606  Ext. </td>
            </tr>
            <tr>
                <td style=""text-align: right""  class=""label"">Téléphone sec.:&nbsp;</td>
                <td class=""value""></td>
            </tr>
            <tr style=""line-height: 7px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""headerLine"">Note(S)</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""value""></td>
            </tr>
			<tr>
                <td colspan=""4"" class=""headerLine"">INFORMATION SUR LE CHAUFFE-EAU EXISTANT</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
			<tr><td class=""value""><b>AUCUN ÉQUIPEMENT</b></td></tr>
            <tr style=""line-height: 7px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""headerLine"">GARANTIE ACTIVE</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
             <tr>
                <td colspan=""4"" class=""value"" style=""text-align:left""><b>AUCUNE GARANTIE</b></td>
            </tr>
            </tr>
                <tr style=""line-height: 7px;"">
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""headerLine"">HISTORIQUE DES APPELS</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
             <tr>
                <td colspan=""4"" class=""value"" ><b>AUCUN HISTORIQUE AU DOSSIER</b></td>
            </tr>
            </tr>
                <tr style=""line-height: 7px;"">
                    <td>&nbsp;</td>
                </tr>

            <tr>
                <td colspan=""4"" class=""headerLine"">INFORMATION SUR LE NOUVEAU CHAUFFE-EAU OU MODIFICATION DU CHAUFFE-EAU EXISTANT</td>
            </tr>
            <tr style=""line-height: 4px;"">
                <td>&nbsp;</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Nº de série:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Réceptacle:&nbsp;</td>
                <td class=""value"" style=""width:30%"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;OUI&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;NON</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Nº de modèle:&nbsp;</td>
                <td class=""value"" style=""width:30%"">1_____2E-3F6_____-HQ_____M_____HSA</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">130 E-3E7N-HQ::&nbsp;</td>
                <td class=""value"" style=""width:30%"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;OUI&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;NON</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Fabricant&nbsp;si&nbsp;pas&nbsp;Giant:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">6245OSO:&nbsp;</td>
                <td class=""value"" style=""width:30%"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;OUI&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;NON</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Date fabrication:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Élément:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Anode:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Cuve:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
            </tr>
            <tr style=""line-height:1.5;vertical-align:bottom"">
                <td style=""text-align: right"" class=""label"" style=""width:20%;"">Adresse&nbsp;installation:&nbsp;</td>
                <td class=""value"" style=""width:30%"">___________________________________</td>
                <td style=""text-align: right"" class=""label"" style=""width:20%"">Emplacement________:&nbsp;</td>
                <td class=""value"" style=""width:30%"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;S-SOL&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;REZ-CHAUSSE&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;ÉTAGE</td>
            </tr>

        </tbody>
		<tfoot>
            <tr>
                <td>&nbsp;</td>
            </tr>
            <tr>
                <td colspan=""4"" class=""footerLine"">
                    <table style=""width:100%"">
                        <tr>
                            <td style=""text-align:left;"" class=""footerText"">Créé par: (ed50617RSC) - Evelyne Djuikom RSC</td>
                            <td style=""text-align:center;""  class=""footerText"">2016-11-10 08:17:40</td>
                            <td style=""text-align:right;""  class=""footerText"">DEV01-HS\DEV / HYSEC / v5.96.3</td>
                        </tr>
                    </table>
                </td>
            </tr>
        </tfoot>    
	</table>
</body>
</html>', CONVERT(DATETIME,'2016-11-10 08:17:42'), '\\dev01-hs\Attachement\161019-0001-19.html', 1, 0)"
"4426","declare @p1 int
set @p1=180151433
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MAX(Task_Line_Number) FROM HS_Tache WHERE Service_Call_ID = ''161019-0001''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4427","exec sp_cursorfetch 180151433,16,1,1"
"4428","exec sp_cursorclose 180151433"
"4429","declare @p1 int
set @p1=180151435
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT distinct Zone FROM GMP_POSTAL WHERE Postal = LEFT(''H1M3S3'', (select max(LEN(Postal)) from GMP_POSTAL Where Postal = LEFT(''H1M3S3'', LEN(Postal))))',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4430","exec sp_cursorfetch 180151435,16,1,1"
"4431","exec sp_cursorclose 180151435"
"4432","declare @p1 int
set @p1=180151437
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Categorie FROM GMP_SV00310  where Type_of_Problem =''LEAD PARTENAIRE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4433","exec sp_cursorfetch 180151437,16,1,1"
"4434","exec sp_cursorclose 180151437"
"4435","declare @p1 int
set @p1=180151439
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select distinct PM00200.VENDORID,VENDNAME from GMP_POSTAL left join  PM00200 on GMP_POSTAL.ID_Partenaire = PM00200.VENDORID where Zone=''10'' AND PM00200.VENDORID IS NOT NULL ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4436","exec sp_cursorfetch 180151439,16,1,1"
"4437","exec sp_cursorclose 180151439"
"4438","declare @p1 int
set @p1=180151441
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT * FROM HS_Tache  WHERE HS_Tache.Service_Call_ID = ''161019-0001'' AND HS_Tache.Task_Code = ''PAR002'' AND HS_Tache.Task_Line_Number = ''3''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4439","exec sp_cursorfetch 180151441,16,1,1"
"4440","exec sp_cursorclose 180151441"
"4441","declare @p1 int
set @p1=180151443
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM HS_Tache  WHERE Service_Call_ID = ''161019-0001''  AND Task_Code = ''PAR002''  AND Task_Line_Number = ''3'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"4442","exec sp_cursorfetch 180151443,16,1,1"
"4443","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
